GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Ogham JavaMail implementation,fr.sii.ogham.email.sender.impl.javamail,MapAttachmentResourceHandler,51,0,2,0,12,0,5,0,4,0
Ogham JavaMail implementation,fr.sii.ogham.email.sender.impl.javamail,MultiContentHandler,53,0,2,0,15,0,3,0,2,0
Ogham JavaMail implementation,fr.sii.ogham.email.sender.impl.javamail,UpdatableUsernamePasswordAuthenticator,34,0,0,0,8,0,2,0,2,0
Ogham JavaMail implementation,fr.sii.ogham.email.sender.impl.javamail,StreamResourceHandler,100,0,2,0,20,0,3,0,2,0
Ogham JavaMail implementation,fr.sii.ogham.email.sender.impl.javamail,MapContentHandler,75,0,6,0,17,0,8,0,5,0
Ogham JavaMail implementation,fr.sii.ogham.email.sender.impl.javamail,PropertiesUsernamePasswordAuthenticator,9,0,0,0,2,0,1,0,1,0
Ogham JavaMail implementation,fr.sii.ogham.email.sender.impl.javamail,UsernamePasswordAuthenticator,17,0,0,0,5,0,2,0,2,0
Ogham JavaMail implementation,fr.sii.ogham.email.sender.impl.javamail,StringContentHandler,72,0,2,0,16,0,3,0,2,0
Ogham JavaMail implementation,fr.sii.ogham.email.sender.impl.javamail,ContentWithAttachmentsHandler,34,0,2,0,9,0,3,0,2,0
Ogham JavaMail implementation,fr.sii.ogham.email.sender.impl.javamail,FileResourceHandler,104,0,0,0,16,0,2,0,2,0
Ogham JavaMail implementation,fr.sii.ogham.email.sender.impl,JavaMailSender,343,0,20,0,78,0,25,0,14,0
Ogham JavaMail implementation,fr.sii.ogham.email.sender.impl,PropertiesBridge,93,0,0,0,23,0,21,0,21,0
Ogham JavaMail implementation,fr.sii.ogham.email.builder.javamail,JavaMailBuilder,393,0,34,0,85,0,44,0,27,0
Ogham JavaMail implementation,fr.sii.ogham.email.builder.javamail,OverrideJavaMailResolver,92,185,11,41,20,42,11,30,5,10
Ogham JavaMail implementation,fr.sii.ogham.email.builder.javamail,UsernamePasswordAuthenticatorBuilder,130,0,22,0,24,0,16,0,5,0
Ogham JavaMail implementation,fr.sii.ogham.email.builder.javamail,DefaultJavaMailConfigurer,115,0,6,0,24,0,7,0,4,0
